ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,drop_ps,err_ps
1762802524.1888828,2,1,10,251,984,23106,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,2,2,101,156,9406,14228,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,2,3,152,99,13866,9250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,1,1,8,257,788,23674,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,1,2,156,101,14228,9406,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,1,3,100,153,9330,13946,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,3,1,153,100,13946,9330,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802524.1888828,3,2,99,152,9250,13866,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,2,1,10,251,984,23106,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,2,2,101,156,9406,14228,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,2,3,152,99,13866,9250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,1,1,8,257,788,23674,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,1,2,156,101,14228,9406,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,1,3,100,153,9330,13946,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,3,1,153,100,13946,9330,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802525.1893468,3,2,99,152,9250,13866,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802526.1898673,1,1,47,4226,4158,366308,0,0,0,0,26945.975488545537,2739646.1025348105,0.026945975488545538,2.7396461025348104,0.0,0.0
1762802526.1898673,1,2,2194,2076,190192,179742,0,0,0,0,1406979.7124232722,1361979.1337735588,1.4069797124232721,1.3619791337735587,0.0,0.0
1762802526.1898673,1,3,2044,2202,177060,190826,0,0,0,0,1341141.9788408733,1414303.9004195652,1.3411419788408734,1.4143039004195652,0.0,0.0
1762802526.1898673,3,1,2202,2044,190826,177060,1,0,0,0,1414303.9004195652,1341141.9788408733,1.4143039004195652,1.3411419788408734,0.0,0.0
1762802526.1898673,3,2,2104,2136,182240,185164,1,0,0,0,1383200.0889505914,1369671.1303373512,1.3832000889505913,1.3696711303373512,0.0,0.0
1762802526.1898673,2,1,82,4161,7216,360622,0,0,0,0,49830.065057749496,2698723.4014812866,0.0498300650577495,2.6987234014812866,0.0,0.0
1762802526.1898673,2,2,2076,2194,179742,190192,1,0,0,0,1361979.1337735588,1406979.7124232722,1.3619791337735587,1.4069797124232721,0.0,0.0
1762802526.1898673,2,3,2152,2108,186528,182584,0,0,0,0,1380577.4539475518,1385950.6573684132,1.3805774539475517,1.3859506573684133,0.0,0.0
1762802527.1889231,1,1,47,4226,4158,366308,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,1,2,2194,2076,190192,179742,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,1,3,2044,2202,177060,190826,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,3,1,2202,2044,190826,177060,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,3,2,2104,2136,182240,185164,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,2,1,82,4161,7216,360622,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,2,2,2076,2194,179742,190192,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802527.1889231,2,3,2152,2108,186528,182584,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802528.1889267,2,1,119,9127,10446,788242,0,0,0,0,25839.907589289225,3420947.7657374176,0.025839907589289224,3.4209477657374174,0.0,0.0
1762802528.1889267,2,2,4551,4732,392808,408784,1,0,0,0,1704521.9041546434,1748729.7460550808,1.7045219041546433,1.7487297460550808,0.0,0.0
1762802528.1889267,2,3,4669,4598,403298,396906,0,0,0,0,1734153.7981827324,1714569.8682203237,1.7341537981827324,1.7145698682203236,0.0,0.0
1762802528.1889267,1,1,81,9169,7106,791986,0,0,0,0,23583.91565734509,3405411.8212982845,0.02358391565734509,3.4054118212982845,0.0,0.0
1762802528.1889267,1,2,4732,4551,408784,392808,0,0,0,0,1748729.7460550808,1704521.9041546434,1.7487297460550808,1.7045219041546433,0.0,0.0
1762802528.1889267,1,3,4537,4735,391678,408940,0,0,0,0,1716937.859751726,1744905.7597307216,1.716937859751726,1.7449057597307216,0.0,0.0
