ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,drop_ps,err_ps
1762802706.6498091,1,1,8,260,788,24144,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,1,2,155,109,14250,10164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,1,3,107,151,10044,13878,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,3,1,151,107,13878,10044,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,3,2,111,150,10410,13822,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,2,1,10,256,984,23756,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,2,2,109,155,10164,14250,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802706.6498091,2,3,150,111,13822,10410,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,1,1,8,260,788,24144,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,1,2,155,109,14250,10164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,1,3,107,151,10044,13878,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,3,1,151,107,13878,10044,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,3,2,111,150,10410,13822,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,2,1,10,256,984,23756,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,2,2,109,155,10164,14250,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802707.6499627,2,3,150,111,13822,10410,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802708.6499462,1,1,51,3364,4502,292856,0,0,0,0,29712.488796645874,2149731.3649769267,0.029712488796645873,2.1497313649769265,0.0,0.0
1762802708.6499462,1,2,1756,1651,152772,143660,0,0,0,0,1108194.2307724769,1067985.5693045335,1.1081942307724768,1.0679855693045335,0.0,0.0
1762802708.6499462,1,3,1651,1764,143698,153374,0,0,0,0,1069249.5900987904,1115986.358959858,1.0692495900987904,1.115986358959858,0.0,0.0
1762802708.6499462,2,1,61,3349,5386,291510,0,0,0,0,35216.57934378975,2142067.2388952933,0.03521657934378975,2.1420672388952933,0.0,0.0
1762802708.6499462,2,2,1655,1756,143992,152772,1,0,0,0,1070641.6129987948,1108194.2307724769,1.0706416129987948,1.1081942307724768,0.0,0.0
1762802708.6499462,2,3,1712,1683,148928,146446,0,0,0,0,1080865.7811953789,1088305.9035919541,1.0808657811953788,1.0883059035919542,0.0,0.0
1762802708.6499462,3,1,1772,1667,154070,145074,1,0,0,0,1121554.4505598757,1080257.771193078,1.1215544505598758,1.080257771193078,0.0,0.0
1762802708.6499462,3,2,1683,1712,146446,148928,1,0,0,0,1088305.9035919541,1080865.7811953789,1.0883059035919542,1.0808657811953788,0.0,0.0
1762802709.6499312,1,1,51,3364,4502,292856,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802709.6499312,1,2,1756,1651,152772,143660,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802709.6499312,1,3,1651,1764,143698,153374,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802709.6499312,2,1,61,3349,5386,291510,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802709.6499312,2,2,1655,1756,143992,152772,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
