ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762805446.6688845,1,1,8,271,788,25074,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,1,2,146,128,13424,11830,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,1,3,132,148,12254,13584,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,2,1,10,269,984,24842,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,2,2,128,146,11830,13424,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,2,3,141,132,12956,12248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,3,1,148,132,13584,12254,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805446.6688845,3,2,132,141,12248,12956,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,1,1,8,271,788,25074,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,1,2,146,128,13424,11830,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,1,3,132,148,12254,13584,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,2,1,10,269,984,24842,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,2,2,128,146,11830,13424,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,2,3,141,132,12956,12248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,3,1,148,132,13584,12254,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805447.669321,3,2,132,141,12248,12956,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,1,1,59,3823,5190,331930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,1,2,1950,1909,169008,165900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,1,3,1896,1976,164840,171232,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,2,1,65,3767,5730,327038,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,2,2,1909,1950,165900,169008,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,2,3,1914,1921,165908,166924,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,3,1,1990,1896,172402,164840,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805448.6689203,3,2,1925,1930,167272,167284,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,1,1,59,3823,5190,331930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,1,2,1950,1909,169008,165900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,1,3,1896,1976,164840,171232,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,2,1,65,3767,5730,327038,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,2,2,1909,1950,165900,169008,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,2,3,1914,1921,165908,166924,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,3,1,1990,1896,172402,164840,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805449.6693072,3,2,1925,1930,167272,167284,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805450.6692908,3,1,4364,4300,376774,371844,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805450.6692908,3,2,4348,4323,375970,373250,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805450.6692908,2,1,100,8550,8748,738900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805450.6692908,2,2,4317,4369,373268,377210,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762805450.6692908,2,3,4323,4348,373250,375970,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
